model,replay,replay_size_per_task,eval_task,accuracy_%
dendritic_affine_separate,0%,0,0,28.35
dendritic_affine_separate,0%,0,1,54.92
dendritic_affine_separate,0%,0,2,75.82
dendritic_affine_separate,0%,0,3,96.24
dendritic_affine_separate,2%,200,0,94.19
dendritic_affine_separate,2%,200,1,95.73
dendritic_affine_separate,2%,200,2,95.85
dendritic_affine_separate,2%,200,3,95.86
dendritic_affine_separate,5%,500,0,95.42
dendritic_affine_separate,5%,500,1,96.23
dendritic_affine_separate,5%,500,2,96.29
dendritic_affine_separate,5%,500,3,95.69
dendritic_affine_separate,10%,1000,0,95.65
dendritic_affine_separate,10%,1000,1,96.25
dendritic_affine_separate,10%,1000,2,96.4
dendritic_affine_separate,10%,1000,3,95.78
film_full,0%,0,0,27.98
film_full,0%,0,1,55.03
film_full,0%,0,2,76.35
film_full,0%,0,3,96.29
film_full,2%,200,0,94.26
film_full,2%,200,1,95.69
film_full,2%,200,2,95.86
film_full,2%,200,3,95.93
film_full,5%,500,0,95.49
film_full,5%,500,1,96.19
film_full,5%,500,2,96.22
film_full,5%,500,3,95.75
film_full,10%,1000,0,95.67
film_full,10%,1000,1,96.3
film_full,10%,1000,2,96.35
film_full,10%,1000,3,95.74
