benchmark,scenario,training_regime,model,variant_name,replay_fraction_per_task,replay_size_per_task,stage_label,stage_index,eval_task,mean_accuracy,std_accuracy,mean_positive_rate,mean_mean_logit,mean_std_logit,n
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_0,0,0,0.9576,0.005549774770204681,0.4948,0.08719535879790788,10.276178741455078,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_0,0,1,0.5058999999999999,0.007360366838684087,0.43660000000000004,-1.0603734493255614,6.3908308982849125,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_0,0,2,0.4936999999999999,0.006210877554742167,0.5336000000000001,0.7678571105003357,6.205554676055908,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_0,0,3,0.1393,0.13383319842251398,0.44670000000000004,-0.7924759238958359,5.903697204589844,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_1,1,0,0.6956,0.043835487906489695,0.42779999999999996,-1.1228745698928833,5.416436004638672,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_1,1,1,0.9652000000000001,0.0021095023109729016,0.5081,-0.3729444444179535,9.558917617797851,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_1,1,2,0.21669999999999998,0.0863174374040379,0.40440000000000004,-1.0901792258024217,5.219731712341309,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_1,1,3,0.4363,0.026477820907317883,0.4521,-0.9437101483345032,5.360688400268555,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_2,2,0,0.5837,0.0659314037466214,0.5799000000000001,1.0222073554992677,3.828773021697998,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_2,2,1,0.5045,0.16677642219450564,0.7407999999999999,2.2506173729896544,2.0511636972427367,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_2,2,2,0.9641,0.00041833001326706303,0.49660000000000004,0.7474159300327301,9.576524925231933,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_2,2,3,0.4883,0.0188500663128807,0.4833,0.4009723424911499,4.307874631881714,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_3,3,0,0.2835,0.17389256740873082,0.4471,-0.6403308510780334,3.625274658203125,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_3,3,1,0.5492,0.11091415599462492,0.6269,1.7651447296142577,5.214057397842407,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_3,3,2,0.7582,0.04518794086921864,0.3673,-2.789563703536987,7.896699333190918,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_3,3,3,0.9624,0.003697972417420128,0.49079999999999996,-0.08876191377639768,10.925164031982423,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_0,0,0,0.9576,0.005549774770204681,0.4948,0.08719535879790788,10.276178741455078,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_0,0,1,0.5058999999999999,0.007360366838684087,0.43660000000000004,-1.0603734493255614,6.3908308982849125,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_0,0,2,0.4936999999999999,0.006210877554742167,0.5336000000000001,0.7678571105003357,6.205554676055908,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_0,0,3,0.1393,0.13383319842251398,0.44670000000000004,-0.7924759238958359,5.903697204589844,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_1,1,0,0.9588000000000001,0.00330907842155488,0.5085999999999999,0.839815479516983,11.913222885131836,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_1,1,1,0.9654999999999999,0.0008660254037844488,0.5092,-0.12951844185590744,9.261086654663085,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_1,1,2,0.3528,0.04620687178331811,0.5037,0.5315441697835923,4.882902526855469,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_1,1,3,0.2808,0.11625758039801103,0.461,-0.2507913153618574,5.109516763687134,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_2,2,0,0.9545,0.004198213905936683,0.5126999999999999,0.90833078622818,12.144165992736816,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_2,2,1,0.9641,0.0023558437978779307,0.5064,0.1816384553909302,8.395173072814941,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_2,2,2,0.9661,0.0008944271909999252,0.49239999999999995,0.021532487869262696,9.702812385559081,5
