benchmark,scenario,training_regime,model,variant_name,replay_fraction_per_task,replay_size_per_task,stage_label,stage_index,eval_task,mean_accuracy,std_accuracy,mean_positive_rate,mean_mean_logit,mean_std_logit,n
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_3,3,0,0.2835,0.17389256740873082,0.4471,-0.6403308510780334,3.625274658203125,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_3,3,1,0.5492,0.11091415599462492,0.6269,1.7651447296142577,5.214057397842407,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_3,3,2,0.7582,0.04518794086921864,0.3673,-2.789563703536987,7.896699333190918,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_3,3,3,0.9624,0.003697972417420128,0.49079999999999996,-0.08876191377639768,10.925164031982423,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_3,3,0,0.9564999999999999,0.0037080992435478237,0.5095,0.9674557209014892,11.904076576232912,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_3,3,1,0.9625,0.003482097069296027,0.51,0.23298754692077636,10.84740982055664,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_3,3,2,0.9640000000000001,0.003181980515339498,0.49470000000000003,-0.15243396759033204,9.862991333007812,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_3,3,3,0.9578,0.006006246748178134,0.5084,0.6805566713213921,11.07340030670166,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,after_task_3,3,0,0.9419000000000001,0.00811171991626926,0.5187,1.444023311138153,12.407193374633788,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,after_task_3,3,1,0.9573,0.011322543883774561,0.5056,0.18178536295890813,13.789725875854492,5
