benchmark,scenario,training_regime,model,variant_name,replay_fraction_per_task,replay_size_per_task,layer_idx,task_i,task_j,is_mirror_pair,mean_cosine_similarity,std_cosine_similarity,n
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,0,0,0,0.9999999999999961,2.220446049250313e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,0,1,0,0.8206006119198751,0.029113913855366314,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,0,2,0,0.8344142791988156,0.023820604760390933,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,0,3,1,0.8524514197457448,0.024919306239888396,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,1,0,0,0.8206006119198751,0.029113913855366314,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,1,1,0,0.9999999999999959,1.2412670766236366e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,1,2,1,0.8076612758197967,0.025223650811245103,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,1,3,0,0.8182769944579293,0.025097127155330422,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,2,0,0,0.8344142791988156,0.023820604760390933,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,2,1,1,0.8076612758197967,0.025223650811245103,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,2,2,0,0.9999999999999959,2.9893669801409083e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,2,3,0,0.8293846092962316,0.018327568071766012,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,3,0,1,0.8524514197457448,0.024919306239888396,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,3,1,0,0.8182769944579293,0.025097127155330422,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,3,2,0,0.8293846092962316,0.018327568071766012,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,3,3,0,0.9999999999999959,2.2887833992611187e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,0,0,0,0.9999999999999956,2.9893669801409083e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,0,1,0,0.8209154711525708,0.028907809259825556,5
