run_name,variant_name,benchmark,scenario,training_regime,model,tasks,epochs,batch_size,hidden_dims,lr,apical_lr_mult,apical_init_gain,gate_temperature,replay_fraction_per_task,replay_size_per_task,n_train_per_task,seed,average_accuracy,average_forgetting,backward_transfer
seq_film_r0pct_seed0,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.0,0,10000,0,0.674125,0.38466666666666666,-0.38466666666666666
seq_film_r2pct_seed0,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.02,200,10000,0,0.9592499999999999,0.00516666666666669,-0.00516666666666669
seq_film_r5pct_seed0,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.05,500,10000,0,0.962375,0.004166666666666652,-0.001666666666666668
seq_film_r10pct_seed0,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.1,1000,10000,0,0.963375,0.0011666666666666492,-0.0004999999999999819
seq_affine_r0pct_seed0,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.0,0,10000,0,0.66025,0.4036666666666668,-0.4036666666666668
seq_affine_r2pct_seed0,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.02,200,10000,0,0.959,0.005666666666666709,-0.005666666666666709
seq_affine_r5pct_seed0,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.05,500,10000,0,0.962375,0.0038333333333333184,-0.0008333333333333156
seq_affine_r10pct_seed0,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.1,1000,10000,0,0.963875,0.001666666666666668,-0.0001666666666666483
seq_film_r0pct_seed1,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.0,0,10000,1,0.58925,0.49816666666666665,-0.49816666666666665
seq_film_r2pct_seed1,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.02,200,10000,1,0.9448749999999999,0.022333333333333316,-0.022333333333333316
seq_film_r5pct_seed1,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.05,500,10000,1,0.95975,0.004999999999999967,-0.004999999999999967
seq_film_r10pct_seed1,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.1,1000,10000,1,0.959125,0.004166666666666689,-0.004166666666666689
seq_affine_r0pct_seed1,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.0,0,10000,1,0.591625,0.49416666666666664,-0.49416666666666664
